id,betweenness
17960-1843-2,0.0192021
395-2197-2,0.01662086
11812-392-1,0.01423653
18365-5724-8,0.01238191
4342-6659-8,0.01126975
18230-522-10,0.0109127
18203-3367-4,0.01042475
16118-2708-9,0.0085245
6124-1045-0,0.0084903
18336-3993-23,0.00838484
