Metric,Original_G,Post_Cascade,Pct_Change
Nodes,4064.0,88.0,-97.83464566929135
Edges,77672.0,90.0,-99.88412812854052
Avg Clustering,0.2820786603186684,0.12439613526570048,-55.900196376014996
Avg Indegree,19.11,1.02,-94.66248037676608
Avg Outdegree,19.11,1.02,-94.66248037676608
Avg Shortest Path,4.462308659931124,5.596837944664031,25.424715572015554
